qN	qID	type	question	DRS-question	DRS-Ont-question	SPARQL-question	Result-question	template-id	SPARQL
23	Q0036	SINGLE_FACT	 "What is the webpage of the author Wang, Chao?" 	dEntities=[ DEntity(X2, webpage, webpage, NOUN, the, 4, null),  DEntity(X3, author, author, NOUN, the, 7, null)],  dConditions=[ DCondition(X2, has_text, webpage, propriedades= [] --- []),  DCondition(X3, has_text, author, propriedades= [] --- []),  DCondition(X3, has_name, Chao Wang, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]  numEntitiesOk = 0   numPropsOk = 0  numEntitiesNOk = 0  numClassesOk = 0]	dEntities=[ DEntity(X1, webpage, webpage, NOUN, the, null, ConceptPerson),  DEntity(X2, author, author, NOUN, the, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, webpage, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Chao Wang, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Chao Wang","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"webpage","i")). }	4	TC05	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/ChaoWang> <https://dblp.org/rdf/schema#webpage> ?answer }" }
24	Q0046	SINGLE_FACT	 "What is the webpage of the author Christian Wagner?" 	dEntities=[ DEntity(X2, webpage, webpage, NOUN, the, 4, null),  DEntity(X3, author, author, NOUN, the, 7, null)],  dConditions=[ DCondition(X2, has_text, webpage, propriedades= [] --- []),  DCondition(X3, has_text, author, propriedades= [] --- []),  DCondition(X3, has_name, Christian Wagner, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X2, of, X3, propriedades= [] --- [])]	dEntities=[ DEntity(X1, webpage, webpage, NOUN, the, null, ConceptPerson),  DEntity(X2, author, author, NOUN, the, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, webpage, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Christian Wagner, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Christian Wagner","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"webpage","i")). }	4	TC05	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/01/2903-1> <https://dblp.org/rdf/schema#webpage> ?answer }" }
25	Q0072	SINGLE_FACT	 "What is the webpage of the person Fardoun, Habib?" 	dEntities=[ DEntity(X1, webpage, webpage, NOUN, the, 4, null),  DEntity(X2, person, person, NOUN, the, 7, null)],  dConditions=[ DCondition(X1, has_text, webpage, propriedades= [] --- []),  DCondition(X2, has_text, person, propriedades= [] --- []),  DCondition(X2, has_name, Fardoun, propriedades= [] --- []),  DCondition(X2, has_name, Habib, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X1, of, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, webpage, webpage, NOUN, the, null, ConceptPerson),  DEntity(X2, person, person, NOUN, the, null, Person),  DEntity(X3, null, null, null, null, null, Query),  DEntity(X4, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, webpage, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X2, has_text, person, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Fardoun, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Habib, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what, especifica]),  DCondition(X1, of, X2, propriedades= [conc_of_Person] --- []),  DCondition(X3, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obj, X1, propriedades= [select] --- []),  DCondition(X3, subj, X4, propriedades= [qQualifier] --- [])]  numEntitiesOk = 0   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 2]	SELECT ?conceptPerson1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Fardoun","i")). filter (regex(?personName1,"Habib","i")). ?person1 ?prop1 ?conceptPerson1. filter (regex(?prop,"webpage","i")). }	4	TC05	{ "sparql": "SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/24/7186> <https://dblp.org/rdf/schema#webpage> ?answer }" }
26	Q0102	MULTI_FACT	 "What are the venues in which Ke Wang published?" 	dEntities=[ DEntity(X1, venue, venues, NOUN, the, 4, null),  DEntity(X2, Ke Wang, Ke, PROPN, null, 7, null),  DEntity(X3, publish, published, VERB, null, 9, null)],  dConditions=[ DCondition(X1, has_text, venue, propriedades= [] --- []),  DCondition(X2, has_text, which, propriedades= [] --- []),  DCondition(X2, has_name, Ke Wang, propriedades= [] --- []),  DCondition(X3, has_text, publish, propriedades= [] --- []),  DCondition(X1, what, true, propriedades= [] --- []),  DCondition(X3, subj, X2, propriedades= [] --- []),  DCondition(X3, obl_in, X1, propriedades= [] --- [])]	dEntities=[ DEntity(X1, venue, venues, NOUN, the, null, ConceptDocument),  DEntity(X2, Ke Wang, Ke, PROPN, null, null, Person),  DEntity(X3, publish, published, VERB, null, null, Create),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, venue, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Ke Wang, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, publish, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, subj, X2, propriedades= [who_create] --- []),  DCondition(X3, obl_in, X1, propriedades= [create_in] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]	SELECT ?conceptDocument1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Ke Wang","i")). ?document1 dblp:authoredBy ?person1 . ?document1 ?prop1 ?conceptDocument1 . filter (regex(?prop,"publish","i")). } 	4	TC11	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/w/KeWang> . ?x <https://dblp.org/rdf/schema#publishedIn> ?answer }" }
27	Q0105	MULTI_FACT	 "Which venues has Amit P. published in?" 	DEntity(X1, venue, venues, NOUN, which, 2, null),  DEntity(X2, Amit P., Amit, PROPN, null, 4, null),  DEntity(X3, publish, published, VERB, null, 6, null)],  dConditions=[ DCondition(X1, has_text, venue, propriedades= [] --- []),  DCondition(X2, has_name, Amit P., propriedades= [] --- []),  DCondition(X3, has_text, publish, propriedades= [] --- []),  DCondition(X3, obl_in, X1, propriedades= [] --- []),  DCondition(X3, nsubj, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, venue, venues, NOUN, which, null, ConceptDocument),  DEntity(X2, Amit P., Amit, PROPN, null, null, Person),  DEntity(X3, publish, published, VERB, null, null, Create),  DEntity(X4, null, null, null, null, null, Query),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, venue, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Amit P., propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, publish, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, obl_in, X1, propriedades= [create_in] --- []),  DCondition(X3, nsubj, X2, propriedades= [who_create] --- []),  DCondition(X4, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [select] --- []),  DCondition(X4, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 16  numEntitiesNOk = 0  numClassesOk = 2 	SELECT ?conceptDocument1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Amit P","i")). ?document1 dblp:authoredBy ?person1 . ?document1 ?prop1 ?conceptDocument1 . filter (regex(?prop,"publish","i")). } 	4	TC11	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/230/9003> . ?x <https://dblp.org/rdf/schema#publishedIn> ?answer }" }
28	Q0117	MULTI_FACT	 "Mention the venues in which G. Leduc published." 	dEntities=[ DEntity(X1, mention, Mention, VERB, null, 1, null),  DEntity(X2, venue, venues, NOUN, the, 3, null),  DEntity(X3, G. Leduc, G., PROPN, null, 6, null),  DEntity(X4, publish, published, VERB, null, 8, null)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- []),  DCondition(X2, has_text, venue, propriedades= [] --- []),  DCondition(X3, has_text, which, propriedades= [] --- []),  DCondition(X3, has_name, G. Leduc, propriedades= [] --- []),  DCondition(X4, has_text, publish, propriedades= [] --- []),  DCondition(X1, obj, X2, propriedades= [] --- []),  DCondition(X4, subj, X3, propriedades= [] --- []),  DCondition(X4, obl_in, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, mention, Mention, VERB, null, null, Query),  DEntity(X2, venue, venues, NOUN, the, null, ConceptDocument),  DEntity(X3, G. Leduc, G., PROPN, null, null, Person),  DEntity(X4, publish, published, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, mention, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, venue, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, G. Leduc, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, publish, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, obj, X2, propriedades= [select] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X4, obl_in, X2, propriedades= [create_in] --- []),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, null, propriedades= [] --- []),  DCondition(X1, subj, X5, propriedades= [qQualifier] --- [])]	SELECT ?conceptDocument1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"G. Leduc","i")). ?document1 dblp:authoredBy ?person1 . ?document1 ?prop1 ?conceptDocument1 . filter (regex(?prop,"publish","i")). } 	4	TC11	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/61/1225> . ?x <https://dblp.org/rdf/schema#publishedIn> ?answer }" }
29	Q0145	MULTI_FACT	 "List the venues in which David Doukhan published." 	dEntities=[ DEntity(X1, list, List, VERB, null, 1, null),  DEntity(X2, venue, venues, NOUN, the, 3, null),  DEntity(X3, David Doukhan, David, PROPN, null, 6, null),  DEntity(X4, publish, published, VERB, null, 8, null)],  dConditions=[ DCondition(X1, has_text, list, propriedades= [] --- []),  DCondition(X2, has_text, venue, propriedades= [] --- []),  DCondition(X3, has_text, which, propriedades= [] --- []),  DCondition(X3, has_name, David Doukhan, propriedades= [] --- []),  DCondition(X4, has_text, publish, propriedades= [] --- []),  DCondition(X1, obj, X2, propriedades= [] --- []),  DCondition(X4, subj, X3, propriedades= [] --- []),  DCondition(X4, obl_in, X2, propriedades= [] --- [])]	dEntities=[ DEntity(X1, list, List, VERB, null, null, Query),  DEntity(X2, venue, venues, NOUN, the, null, ConceptDocument),  DEntity(X3, David Doukhan, David, PROPN, null, null, Person),  DEntity(X4, publish, published, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, list, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, venue, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, David Doukhan, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, publish, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, obj, X2, propriedades= [select] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X4, obl_in, X2, propriedades= [create_in] --- []),  DCondition(X5, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_name, null, propriedades= [] --- []),  DCondition(X1, subj, X5, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 12  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?conceptDocument1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"David Doukhan","i")). ?document1 dblp:authoredBy ?person1 . ?document1 ?prop1 ?conceptDocument1 . filter (regex(?prop,"publish","i")). } 	4	TC11	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?x <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/35/10650> . ?x <https://dblp.org/rdf/schema#publishedIn> ?answer }" }
30	Q0127	MULTI_FACT	 "Which papers did the authors Frederic T. Chong and Susmit Biswas co-write?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, which, 2, null),  DEntity(X2, author, authors, NOUN, the, 5, null),  DEntity(X3, Susmit Biswas, Susmit, PROPN, null, 10, null),  DEntity(X4, co-write, co-write, VERB, null, 12, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, author, propriedades= [] --- []),  DCondition(X2, has_name, Frederic T. Chong, propriedades= [] --- []),  DCondition(X3, has_name, Susmit Biswas, propriedades= [] --- []),  DCondition(X4, has_text, co-write, propriedades= [] --- []),  DCondition(X4, obj, X1, propriedades= [] --- []),  DCondition(X4, subj, X2, propriedades= [] --- []),  DCondition(X4, subj, X3, propriedades= [] --- [])]	tokens=[],  dEntities=[ DEntity(X1, paper, papers, NOUN, which, null, Document),  DEntity(X2, author, authors, NOUN, the, null, Person),  DEntity(X3, Susmit Biswas, Susmit, PROPN, null, null, Person),  DEntity(X4, co-write, co-write, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Query),  DEntity(X6, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, Frederic T. Chong, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Susmit Biswas, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, co-write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [create_what] --- []),  DCondition(X4, subj, X2, propriedades= [who_create] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X5, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, obj, X1, propriedades= [select] --- []),  DCondition(X5, subj, X6, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 20  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Frederic T. Chong”,"i")). ?person2 dblp:creatorName ?personName2 . filter (regex(?personName1,"Susmit Biswas","i")). ?document1 dblp:authoredBy ?person1 . ?document1 dblp:authoredBy ?person2 . } 	4	TC12	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/c/FTChong> . ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/33/6598> }" }
31	Q0136	MULTI_FACT	"Which papers did the authors C. Raymundo Ibañez and D. Vásquez Zúñiga co-write?" 	dEntities=[ DEntity(X1, paper, papers, NOUN, which, 2, null),  DEntity(X2, author, authors, NOUN, the, 5, null),  DEntity(X4, D. Vásquez Zúñiga, D., PROPN, null, 10, null),  DEntity(X5, co-write, co-write, VERB, null, 13, null)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- []),  DCondition(X2, has_text, author, propriedades= [] --- []),  DCondition(X2, has_name, C. Raymundo Ibañez, propriedades= [] --- []),  DCondition(X4, has_name, D. Vásquez Zúñiga, propriedades= [] --- []),  DCondition(X5, has_text, co-write, propriedades= [] --- []),  DCondition(X5, obj, X1, propriedades= [] --- []),  DCondition(X5, subj, X2, propriedades= [] --- []),  DCondition(X5, subj, X4, propriedades= [] --- [])]	dEntities=[ DEntity(X1, paper, papers, NOUN, which, null, Document),  DEntity(X2, author, authors, NOUN, the, null, Person),  DEntity(X3, D. Vásquez Zúñiga, D., PROPN, null, null, Person),  DEntity(X4, co-write, co-write, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Query),  DEntity(X6, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_name, C. Raymundo Ibañez, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, D. Vásquez Zúñiga, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obj, X1, propriedades= [create_what] --- []),  DCondition(X4, subj, X2, propriedades= [who_create] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X5, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, obj, X1, propriedades= [select] --- []),  DCondition(X5, subj, X6, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 20  numEntitiesNOk = 0  numClassesOk = 3]	SELECT ?document1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"C. Raymundo Ibañez”,"i")). ?person2 dblp:creatorName ?personName2 . filter (regex(?personName1,"D. Vásquez Zúñiga","i")). ?document1 dblp:authoredBy ?person1 . ?document1 dblp:authoredBy ?person2 . } 	4	TC12	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/150/7836> . ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/270/7018> }" }
32	Q0115	MULTI_FACT	"What are the publications written by the authors J. Rowland and Adrian Freed in collaboration?"	dEntities=[ DEntity(X2, publication, publications, NOUN, the, 4, null),  DEntity(X3, write, written, VERB, null, 5, null),  DEntity(X4, author, authors, NOUN, the, 8, null),  DEntity(X6, Adrian Freed, Adrian, PROPN, null, 12, null),  DEntity(X7, collaboration, collaboration, NOUN, null, 15, null)],  dConditions=[ DCondition(X2, has_text, publication, propriedades= [] --- []),  DCondition(X3, has_text, write, propriedades= [] --- []),  DCondition(X4, has_text, author, propriedades= [] --- []),  DCondition(X4, has_name, J. Rowland, propriedades= [] --- []),  DCondition(X6, has_name, Adrian Freed, propriedades= [] --- []),  DCondition(X7, has_text, collaboration, propriedades= [] --- []),  DCondition(X2, what, true, propriedades= [] --- []),  DCondition(X3, nsubj:pass, X2, propriedades= [] --- []),  DCondition(X3, obl_by, X4, propriedades= [] --- []),  DCondition(X3, obl_by, X6, propriedades= [] --- []),  DCondition(X3, obl_in, X7, propriedades= [] --- [])]	dEntities=[ DEntity(X1, publication, publications, NOUN, the, null, Document),  DEntity(X2, write, written, VERB, null, null, Create),  DEntity(X3, author, authors, NOUN, the, null, Person),  DEntity(X4, Adrian Freed, Adrian, PROPN, null, null, Person),  DEntity(X5, collaboration, collaboration, NOUN, null, null, ConceptDocument),  DEntity(X6, null, null, null, null, null, Query),  DEntity(X7, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_text, publication, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, write, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, J. Rowland, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_name, Adrian Freed, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, has_text, collaboration, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X1, what, true, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, nsubj:pass, X1, propriedades= [create_what] --- []),  DCondition(X2, obl_by, X3, propriedades= [who_create] --- []),  DCondition(X2, obl_by, X4, propriedades= [who_create] --- []),  DCondition(X2, obl_in, X5, propriedades= [create_in] --- []),  DCondition(X6, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X7, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X7, has_name, the, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, obj, X1, propriedades= [select] --- []),  DCondition(X6, subj, X7, propriedades= [qQualifier] --- [])]  numEntitiesOk = 1   numPropsOk = 24  numEntitiesNOk = 0  numClassesOk = 2]]	SELECT ?document1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"J. Rowland”,"i")). ?person2 dblp:creatorName ?personName2 . filter (regex(?personName1,"Adrian Freed","i")). ?document1 dblp:authoredBy ?person1 . ?document1 dblp:authoredBy ?person2 . } 	4	TC12	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/121/4922> . ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/88/2117> }" }
33	Q0108	MULTI_FACT	 "In AGIT Journal, which papers did the author Ralf Bill publish?" 	DEntity(X1, AGIT Journal, Journal, PROPN, null, 3, null),  DEntity(X2, paper, papers, NOUN, which, 6, null),  DEntity(X3, author, author, NOUN, the, 9, null),  DEntity(X6, publish, publish, VERB, null, 12, null)],  dConditions=[ DCondition(X1, has_name, AGIT Journal, propriedades= [] --- []),  DCondition(X2, has_text, paper, propriedades= [] --- []),  DCondition(X3, has_text, author, propriedades= [] --- []),  DCondition(X3, has_name, Ralf, propriedades= [] --- []),  DCondition(X3, has_name, Bill, propriedades= [] --- []),  DCondition(X6, has_text, publish, propriedades= [] --- []),  DCondition(X6, obl_in, X1, propriedades= [] --- []),  DCondition(X6, obj, X2, propriedades= [] --- []),  DCondition(X6, subj, X3, propriedades= [] --- [])]	DEntity(X1, AGIT Journal, Journal, PROPN, null, null, ConceptDocument),  DEntity(X2, paper, papers, NOUN, which, null, Document),  DEntity(X3, author, author, NOUN, the, null, Person),  DEntity(X4, publish, publish, VERB, null, null, Create),  DEntity(X5, null, null, null, null, null, Query),  DEntity(X6, null, null, null, null, null, Qualifier)],  dConditions=[ DCondition(X1, has_name, AGIT Journal, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X2, has_text, paper, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_text, author, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Ralf, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X3, has_name, Bill, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, has_text, publish, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X4, obl_in, X1, propriedades= [create_in] --- []),  DCondition(X4, obj, X2, propriedades= [create_what] --- []),  DCondition(X4, subj, X3, propriedades= [who_create] --- []),  DCondition(X5, has_text, Query, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_text, Qualifier, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X6, has_name, which, propriedades= [] --- [which, has_name, has_text, who, what]),  DCondition(X5, obj, X2, propriedades= [select] --- []),  DCondition(X5, subj, X6, propriedades= [qQualifier] --- [])]	SELECT ?document1 WHERE { ?person1 dblp:creatorName ?personName1 . filter (regex(?personName1,"Ralf","i")). filter (regex(?personName1,"Bill","i")). ?document1 dblp:authoredBy ?person1 . ?document1 ?prop1 ?conceptDocument1 . filter (regex(?prop,"publish","i")). filter (regex(?conceptDocument1,"AGIT Journal","i")).  } 	4	TC13	{ "sparql": "SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/99/3431> . ?answer <https://dblp.org/rdf/schema#publishedIn> 'AGIT Journal' }" }
